黑魔女2,Maleficent: Mistress of Evil
雙子殺手,Gemini Man
弒婚遊戲,Ready or Not
金翅雀,Chloris sinica
壞壞萌雪怪,Abominable
屍樂園2,Zombieland: Double Tap
陪你很久很久,Stand By Me
108悍將,Danger Close: The Battle of Long Tan
聖人大盜,The Last Thieves
魔鬼終結者：黑暗宿命,Terminator: Dark Fate
冰雪奇緣2,Frozen II
賽道狂人,Ford v. Ferrari
安眠醫生,Doctor Sleep
暴走曼哈頓,21 Bridges
決戰中途島,Midway
布魯克林孤兒,Motherless Brooklyn
救火奶爸,Playing with Fire
陽光普照,A Sun
野蠻遊戲3,Jumanji: The Next Level
星際大戰9,Star Wars: The Rise of Skywalker
霹靂嬌娃,Charlie's Angels
CATS貓,Cats
葉問4,Ip Man 4: The Finale
私人戰爭,A Private War
捍衛生死線,Replicas
真寵,The Favourite
賭命運轉手,The Mule
魔劍少年,The Kid Who Would Be King
幸福綠皮書,Green Book
速成家庭,Instant Family
驚濤佈局,Serenity
老人與槍,The Old Man & the Gun
鎖命危機,Door Lock
寒單,Han Dan
大象席地而坐,An Elephant Sitting Still
玩命貼圖,Karma
馴龍高手3,How to Train Your Dragon: The Hidden World
樂高玩電影2,The Lego Movie 2: The Second Part
神探蒲松齡,The Knight of Shadows: Between Yin and Yang
祝你忌日快樂,Happy Death Day 2U
福爾摩濕與滑生,Holmes & Watson
雞不可失,Extreme Job
沒有煙硝的愛情,Zimna wojna
芭蕾少女夢,Girl
瘋狂電視台瘋電影,"It's a Mad, Mad, Mad, Mad Show"
酷寒殺手,Cold Pursuit
小飛象,Dumbo
密弒遊戲,Escape Room
法律女王,On the Basis of Sex
三重邊界,Triple Frontier
老大人,Dad's Suit
愛上觸不到的你,Five Feet Apart
他們不再老去,They Shall Not Grow Old
為副不仁,Vice
奇幻遊樂園,Wonder Park
禁入墳場,Pet Sematary
復仇者聯盟4,Avengers: Endgame
侵密室友,Greta
異類占領,Captive State
女王的柯基,The Queen's Corgi
捍衛任務3,John Wick: Chapter 3 ��� Parabellum
詐騙女神,The Hustle
狗狗的旅程,A Dog's Journey
選情尬翻天,Long Shot
恐怖大媽,Ma
阿虎,A Fighter's Blues
赤手登峰,Free Solo
城市獵人,City Hunter
感謝上帝,Gr璽ce �� Dieu
醜娃娃大冒險,UglyDolls
玩具總動員4,Toy Story 4
安娜貝爾回家囉,Annabelle Comes Home
寵物當家2,The Secret Life of Pets 2
安娜,Channah
鱷魔,Crawl
獅子王,The Lion King
我的青春都是你,Love The Way You Are
駭客任務,The Matrix
仲夏魘, Midsommar
爸媽死了，我卻不想哭,WE ARE LITTLE ZOMBIES
朵拉與失落的黃金城,Dora and the Lost City of Gold
緝魔,Deep Evil
第九分局,The 9th Precinct
痛苦與榮耀,Dolor y gloria
靈異乍現,Brightburn
憤怒鳥玩電影2,The Angry Birds Movie 2
下半場,We Are Champions
最乖巧的殺人犯,The Magnificent Bobita
牠：第二章,It Chapter Two
舞孃騙很大,Hustlers
星際救援,Ad Astra
瞞天機密,Official Secrets
校外打怪教學,Little Monsters
好小男孩,Good Boys
無間行動,The Informer
玩命憂步,Stuber
花椒之味,Fagara
唐頓莊園,Downton Abbey
天氣之子,Weathering With You
